FisheryID,FisheryName,Source,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Action
17,Newprt Spt,Xpansion,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,No adjustment
18,Newprt Trl,FRAM,0,0,0,0,1230,0,0,0,0,0,1230,Remove years & standard adjustment
18,Newprt Trl,RMIS,,,,1,1290,,,,,,1291,Remove years & standard adjustment
18,Newprt Trl,Sampled,,,,,1284,,,,,,1284,Remove years & standard adjustment
18,Newprt Trl,Xpansion,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,Remove years & standard adjustment
19,Coos B Spt,FRAM,927,1090,2440,443,9877,4648,1486,3370,4453,9570,38304,No adjustment
19,Coos B Spt,RMIS,927,1090,2456,498,9919,4653,1486,3396,4453,9590,38468,No adjustment
19,Coos B Spt,Sampled,927,1090,2456,498,9919,4653,1486,3396,4453,9590,38468,No adjustment
19,Coos B Spt,Xpansion,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,No adjustment
20,Coos B Trl,FRAM,0,0,0,0,964,0,0,0,0,0,964,Remove years & standard adjustment
20,Coos B Trl,RMIS,,,,8,933,,,,,,941,Remove years & standard adjustment
20,Coos B Trl,Sampled,,,,,923,,,,,,923,Remove years & standard adjustment
20,Coos B Trl,Xpansion,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,,Remove years & standard adjustment
21,Tillmk Spt,FRAM,3360,5721,3160,3630,26526,4940,1774,3641,2809,10704,66265,No adjustment
21,Tillmk Spt,RMIS,3373,5721,3162,3635,26654,4974,1796,3679,2809,10720,66523,No adjustment
21,Tillmk Spt,Sampled,3373,5721,3162,3635,26654,4974,1796,3679,2809,10720,66523,No adjustment
21,Tillmk Spt,Xpansion,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,No adjustment
22,Tillmk Trl,FRAM,0,0,0,0,1078,0,0,0,0,0,1078,Remove years & standard adjustment
22,Tillmk Trl,RMIS,,,,,1070,,,,,,1070,Remove years & standard adjustment
22,Tillmk Trl,Sampled,,,,,1051,,,,,,1051,Remove years & standard adjustment
22,Tillmk Trl,Xpansion,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,0.00,0.00,,Remove years & standard adjustment
23,Buoy10 Spt,FRAM,7980,7614,7385,7620,57744,36920,9182,18834,6761,22775,182815,Standard adjustment
23,Buoy10 Spt,RMIS,7926,7571,7375,7633,57278,36676,9116,18740,6728,23471,182514,Standard adjustment
23,Buoy10 Spt,Sampled,7926,7571,7375,7633,57278,36515,9116,18740,6728,22500,181382,Standard adjustment
23,Buoy10 Spt,Xpansion,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.04,,Standard adjustment
24,L ColR Spt,FRAM,,,,,,,,,,,0,move to escapement
24,L ColR Spt,RMIS,21836,18242,7221,15258,46751,7476,13794,10979,6985,10966,159508,move to escapement
24,L ColR Spt,Sampled,2213,7564,2551,11829,38767,4178,9374,8193,5427,8256,98352,move to escapement
24,L ColR Spt,Xpansion,7.99,2.41,2.83,1.29,1.21,1.79,1.47,1.34,1.29,1.33,,move to escapement
25,L ColR Net,FRAM,,,,,,,,,,,0,move to escapement
25,L ColR Net,RMIS,50050,34654,11787,37815,173059,20656,21177,25308,9145,20234,403885,move to escapement
25,L ColR Net,Sampled,49426,34508,11760,37768,172849,20656,20209,25289,8765,20234,401464,move to escapement
25,L ColR Net,Xpansion,1.01,1.00,1.00,1.00,1.00,1.00,1.05,1.00,1.04,1.00,,move to escapement
26,Yngs B Net,FRAM,,,,,,,,,,,0,move to escapement
26,Yngs B Net,RMIS,27565,25065,5971,14247,65930,11500,15785,13603,4229,3590,187485,move to escapement
26,Yngs B Net,Sampled,27538,24543,5965,14140,65930,11500,15778,13603,4229,3558,186784,move to escapement
26,Yngs B Net,Xpansion,1.00,1.02,1.00,1.01,1.00,1.00,1.00,1.00,1.00,1.01,,move to escapement
31,UpColR Spt,FRAM,,,,,,,,,,,0,move to escapement
31,UpColR Spt,RMIS,2460,4007,2367,3764,13769,2857,4411,3821,2859,3965,44280,move to escapement
31,UpColR Spt,Sampled,14,,8,24,4793,150,4260,39,2021,2702,14011,move to escapement
31,UpColR Spt,Xpansion,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,move to escapement
32,UpColR Net,FRAM,,,,,,,,,,,0,move to escapement
32,UpColR Net,RMIS,9060,22946,5741,4888,33882,2218,5437,6727,3616,3938,98453,move to escapement
32,UpColR Net,Sampled,9005,22946,5673,4884,33245,2184,5374,6500,2993,3282,96086,move to escapement
32,UpColR Net,Xpansion,1.01,1.00,1.01,1.00,1.02,1.02,1.01,1.03,1.21,1.20,,move to escapement
33,A1-Ast Spt,FRAM,24914,26681,11391,20472,75072,44551,18612,21625,20575,53475,317368,No adjustment
33,A1-Ast Spt,RMIS,24894,26983,11389,20542,75168,44549,18615,22250,20613,54126,319129,No adjustment
33,A1-Ast Spt,Sampled,24894,26983,11389,20542,75168,44549,18615,22250,20613,54126,319129,No adjustment
33,A1-Ast Spt,Xpansion,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,No adjustment
34,A1-Ast Trl,FRAM,1189,502,713,553,9973,2877,44,601,125,1668,18245,Remove years & standard adjustment
34,A1-Ast Trl,RMIS,1191,502,714,579,9940,2898,,601,125,1664,18214,Remove years & standard adjustment
34,A1-Ast Trl,Sampled,931,372,594,367,8620,2430,,264,43,1314,14935,Remove years & standard adjustment
34,A1-Ast Trl,Xpansion,1.28,1.35,1.20,1.58,1.15,1.19,0.00,2.28,2.91,1.27,,Remove years & standard adjustment
35,Area2TrlNT,FRAM,1657,1708,89,3759,8525,1839,0,524,366,1331,19798,Remove years & standard adjustment
35,Area2TrlNT,RMIS,1662,1711,856,3759,8525,1839,,524,371,1331,20578,Remove years & standard adjustment
35,Area2TrlNT,Sampled,1575,1631,556,3561,8525,1407,,445,263,1055,19018,Remove years & standard adjustment
35,Area2TrlNT,Xpansion,1.06,1.05,0.00,1.06,1.00,1.31,0.00,1.18,1.41,1.26,,Remove years & standard adjustment
36,Area2TrlTR,FRAM,2137,709,1239,1041,624,215,11,678,805,3122,10581,Remove  fishery
36,Area2TrlTR,RMIS,2137,709,1239,1039,543,199,11,767,16,,6660,Remove  fishery
36,Area2TrlTR,Sampled,,,,,,,,,,,0,Remove  fishery
36,Area2TrlTR,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
37,Area 2 Spt,FRAM,12607,13843,11924,20377,54475,30683,43,15750,15370,20226,195298,No adjustment
37,Area 2 Spt,RMIS,12670,13539,11925,20351,54391,30683,37,15067,15329,19468,193460,No adjustment
37,Area 2 Spt,Sampled,12670,13539,11925,20351,54391,30683,37,15067,15329,19468,193460,No adjustment
37,Area 2 Spt,Xpansion,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,No adjustment
38,Area3TrlT,FRAM,209,1167,2119,1846,4602,309,0,402,488,1290,12432,
38,Area3TrlT,RMIS,191,1167,2119,1846,4602,309,,402,488,1293,12417,
38,Area3TrlT,Sampled,175,1023,1975,1493,2099,263,,384,478,1285,9175,
38,Area3TrlT,Xpansion,1.09,1.14,1.07,1.24,2.19,1.17,0.00,1.05,1.02,1.01,,
39,Area3TrlNT,FRAM,451,511,1226,1680,41684,1689,0,188,17,342,47788,
39,Area3TrlNT,RMIS,439,515,1226,1647,41671,1689,,188,17,323,47715,
39,Area3TrlNT,Sampled,299,,,,41544,1316,,,,,43159,
39,Area3TrlNT,Xpansion,1.47,0.00,0.00,0.00,1.00,1.28,0.00,0.00,0.00,0.00,,
40,Area 3 Spt,FRAM,1180,2049,2244,2798,4610,579,5,1750,954,1751,17920,No adjustment
40,Area 3 Spt,RMIS,1164,2186,2367,2979,5286,689,5,1716,777,1903,19072,No adjustment
40,Area 3 Spt,Sampled,1164,2186,2367,2979,5286,689,5,1716,777,1903,19072,No adjustment
40,Area 3 Spt,Xpansion,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,,No adjustment
41,Area 4 Spt,FRAM,3686,3055,7548,6506,5644,7765,53,3533,4939,6180,48909,No adjustment
41,Area 4 Spt,RMIS,3648,2909,7403,6327,5631,4162,58,3591,5116,6144,44989,No adjustment
41,Area 4 Spt,Sampled,3648,2909,7403,6327,5631,4162,58,3591,5116,6144,44989,No adjustment
41,Area 4 Spt,Xpansion,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,,No adjustment
42,A4/4BTrlNT,FRAM,87,140,204,309,41,34,0,311,810,2234,4170,Remove years & standard adjustment
42,A4/4BTrlNT,RMIS,134,136,204,309,41,34,,311,405,1117,2691,Remove years & standard adjustment
42,A4/4BTrlNT,Sampled,111,45,198,128,17,14,,275,267,969,2024,Remove years & standard adjustment
42,A4/4BTrlNT,Xpansion,1.21,3.02,1.03,2.41,2.41,2.43,0.00,1.13,0.00,0.00,,Remove years & standard adjustment
43,A4/4BTrlT,FRAM,8888,12346,35065,45550,13806,2460,33,12393,10980,52041,193562,Remove years & standard adjustment
43,A4/4BTrlT,RMIS,8900,12348,35069,45032,13731,2106,,12386,11534,52993,194099,Remove years & standard adjustment
43,A4/4BTrlT,Sampled,8764,9664,34417,44963,11844,1660,,12386,11478,52822,187998,Remove years & standard adjustment
43,A4/4BTrlT,Xpansion,1.02,1.28,1.02,1.00,1.16,1.27,0.00,1.00,1.00,1.00,,Remove years & standard adjustment
44,A 5-6C Trl,FRAM,22,101,46,236,198,882,,180,579,170,2414,Remove years & standard adjustment
44,A 5-6C Trl,RMIS,22,101,46,236,198,882,,180,25,,1690,Remove years & standard adjustment
44,A 5-6C Trl,Sampled,,,,161,,633,,,,,794,Remove years & standard adjustment
44,A 5-6C Trl,Xpansion,0.00,0.00,0.00,1.47,0.00,1.39,0.00,0.00,0.00,0.00,,Remove years & standard adjustment
45,Willpa Spt,FRAM,189,2351,1461,1263,11006,8611,1428,923,622,1372,29226,Remove  fishery
45,Willpa Spt,RMIS,5138,6140,5421,4424,10382,11472,5529,3495,2417,4146,58564,Remove  fishery
45,Willpa Spt,Sampled,,,1511,,,6019,1500,858,617,1276,11781,Remove  fishery
45,Willpa Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
46,Wlp Tb Spt,FRAM,4785,3467,3591,2983,10160,2610,3778,2285,1610,2652,37921,Remove  fishery
46,Wlp Tb Spt,RMIS,,,,,,,,,,,0,Remove  fishery
46,Wlp Tb Spt,Sampled,,,,,,,,,,,0,Remove  fishery
46,Wlp Tb Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
47,WlpaBT Net,FRAM,28901,47985,25783,11560,77475,589,19324,4615,7253,8200,231685,Remove years & standard adjustment
47,WlpaBT Net,RMIS,28901,47985,25789,11569,77477,1926,19324,4615,7253,8200,233039,Remove years & standard adjustment
47,WlpaBT Net,Sampled,24388,47253,25678,11014,74471,1545,19299,4572,7240,7946,223406,Remove years & standard adjustment
47,WlpaBT Net,Xpansion,1.19,1.02,1.00,1.05,1.04,0.00,1.00,1.01,1.00,1.03,,Remove years & standard adjustment
48,GryHbr Spt,FRAM,1880,2862,6229,1402,6995,2064,406,1738,792,1862,26230,Remove years & standard adjustment
48,GryHbr Spt,RMIS,1928,3141,6707,3442,6167,2154,423,1821,880,1930,28593,Remove years & standard adjustment
48,GryHbr Spt,Sampled,,3020,6625,3398,5900,2099,361,1678,850,,23931,Remove years & standard adjustment
48,GryHbr Spt,Xpansion,0.00,1.04,1.01,0.00,0.00,1.03,1.17,1.09,1.04,0.00,,Remove years & standard adjustment
49,SGryHb Spt,FRAM,,108,,9,35,26,,79,,,257,Remove  fishery
49,SGryHb Spt,RMIS,,,,,,,,,,,0,Remove  fishery
49,SGryHb Spt,Sampled,,,,,,,,,,,0,Remove  fishery
49,SGryHb Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
50,GryHbr Net,FRAM,4090,3517,10279,5935,5504,1540,232,1170,818,2000,35085,Remove years & standard adjustment
50,GryHbr Net,RMIS,5004,5095,11035,7442,6727,1623,624,1506,2442,2640,44138,Remove years & standard adjustment
50,GryHbr Net,Sampled,5004,5090,11030,7439,6727,1396,624,1506,2109,2640,43565,Remove years & standard adjustment
50,GryHbr Net,Xpansion,0.00,0.00,1.00,0.00,0.00,1.16,1.00,1.00,0.00,0.00,,Remove years & standard adjustment
51,Hump R Spt,FRAM,4101,2933,3021,2797,1691,749,1808,1414,1240,949,20703,Remove  fishery
51,Hump R Spt,RMIS,4413,3276,3555,2961,2510,902,1865,1711,1358,2028,24579,Remove  fishery
51,Hump R Spt,Sampled,,,,,,,,,,,0,Remove  fishery
51,Hump R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
52,LwCheh Net,FRAM,16485,21493,26960,18504,56973,10606,998,6585,6943,6562,172109,Remove  fishery
52,LwCheh Net,RMIS,17698,22041,29517,21153,63878,12000,2165,7562,7138,6562,189714,Remove  fishery
52,LwCheh Net,Sampled,16450,21396,26950,18638,56586,10931,1274,6635,6933,6562,172355,Remove  fishery
52,LwCheh Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
54,Chehal Spt,FRAM,6341,8602,8879,16986,18491,5333,1728,5923,2214,10779,85276,Remove  fishery
54,Chehal Spt,RMIS,5502,7676,7699,13372,14938,5169,1862,5833,2648,8608,73307,Remove  fishery
54,Chehal Spt,Sampled,3375,4728,5084,,9972,,,,,,23159,Remove  fishery
54,Chehal Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
55,Hump R Net,FRAM,8948,6603,4049,3512,10500,1601,803,4224,2057,1462,43759,Remove  fishery
55,Hump R Net,RMIS,8802,6584,3550,3275,10144,1691,797,4162,2041,1652,42698,Remove  fishery
55,Hump R Net,Sampled,8802,6584,3550,3275,10144,1691,797,4162,2041,1652,42698,Remove  fishery
55,Hump R Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
56,UpCheh Net,FRAM,1216,645,2470,2515,7292,1069,885,858,177,,17127,Remove  fishery
56,UpCheh Net,RMIS,,,,,,,,,,,0,Remove  fishery
56,UpCheh Net,Sampled,,,,,,,,,,,0,Remove  fishery
56,UpCheh Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
61,Satsop Spt,FRAM,,,,,,,,,,,0,Remove  fishery
61,Satsop Spt,RMIS,1506,2928,2213,5585,4575,881,999,1361,1131,2233,23412,Remove  fishery
61,Satsop Spt,Sampled,,,,,,,,,,,0,Remove  fishery
61,Satsop Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
62,Quin R Spt,FRAM,,,,,,,,,,,0,Remove  fishery
62,Quin R Spt,RMIS,681,803,956,1031,982,527,598,630,23,778,7009,Remove  fishery
62,Quin R Spt,Sampled,,,,,,,,,,,0,Remove  fishery
62,Quin R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
63,Quin R Net,FRAM,42262,38451,19166,20698,50716,9625,37135,33987,12085,4334,268459,Remove  fishery
63,Quin R Net,RMIS,41764,38448,19159,24635,50385,9722,37263,33848,12083,4349,271656,Remove  fishery
63,Quin R Net,Sampled,41764,38448,19159,24635,50385,9722,37263,33848,12083,4349,271656,Remove  fishery
63,Quin R Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
65,Queets Spt,FRAM,963,1520,527,1285,1625,308,441,107,184,639,7599,Remove  fishery
65,Queets Spt,RMIS,1001,1550,563,1200,1647,308,468,103,242,773,7855,Remove  fishery
65,Queets Spt,Sampled,,,,,,,,,,,0,Remove  fishery
65,Queets Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
68,Queets Net,FRAM,21103,16669,6135,4543,15179,2262,6790,7599,3313,2560,86153,Remove  fishery
68,Queets Net,RMIS,21137,16635,6117,4510,15466,2247,6775,7590,3311,2559,86347,Remove  fishery
68,Queets Net,Sampled,21137,16635,6117,4510,15466,2247,6775,7590,3311,2559,86347,Remove  fishery
68,Queets Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
69,Queets C&S,FRAM,,,,,,,,,,349,349,Remove  fishery
69,Queets C&S,RMIS,,,,,,,,,,,0,Remove  fishery
69,Queets C&S,Sampled,,,,,,,,,,,0,Remove  fishery
69,Queets C&S,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
70,Quilly Spt,FRAM,3877,4383,1571,4701,6125,2993,574,3442,1798,2509,31973,Remove  fishery
70,Quilly Spt,RMIS,4221,4587,1948,4697,6492,3350,719,3651,2140,3318,35123,Remove  fishery
70,Quilly Spt,Sampled,,,,,,,,,,,0,Remove  fishery
70,Quilly Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
71,Quilly Net,FRAM,28787,24185,11511,13957,31688,5781,7719,25838,5955,3502,158923,Remove  fishery
71,Quilly Net,RMIS,28893,24199,11517,13962,31689,5781,7733,19594,5659,3587,152614,Remove  fishery
71,Quilly Net,Sampled,28888,24177,11514,13950,31680,5778,7718,19587,5655,3587,152534,Remove  fishery
71,Quilly Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
72,Quilly C&S,FRAM,,4,,,,,,,,303,307,Remove  fishery
72,Quilly C&S,RMIS,,,,,,,,,,,0,Remove  fishery
72,Quilly C&S,Sampled,,,,,,,,,,,0,Remove  fishery
72,Quilly C&S,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
73,Hoh R  Spt,FRAM,,,,,,,,,,,0,Remove  fishery
73,Hoh R  Spt,RMIS,513,1246,468,998,453,289,40,926,427,1362,6722,Remove  fishery
73,Hoh R  Spt,Sampled,,,,,,,,,,,0,Remove  fishery
73,Hoh R  Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
74,Hoh R  Net,FRAM,2810,3551,2890,4802,3574,496,295,1577,560,297,20852,Remove  fishery
74,Hoh R  Net,RMIS,,,,,,,,,756,297,1053,Remove  fishery
74,Hoh R  Net,Sampled,,,,,,,,,687,,687,Remove  fishery
74,Hoh R  Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
75,Hoh R  C&S,FRAM,,,,,,,,,,,0,Remove  fishery
75,Hoh R  C&S,RMIS,,,,,,,,,,,0,Remove  fishery
75,Hoh R  C&S,Sampled,,,,,,,,,,,0,Remove  fishery
75,Hoh R  C&S,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
76,Mak FW Spt,FRAM,,,,,,,,,,,0,Remove  fishery
76,Mak FW Spt,RMIS,6,124,,15,82,18,,10,,,255,Remove  fishery
76,Mak FW Spt,Sampled,,,,,,,,,,,0,Remove  fishery
76,Mak FW Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
77,Mak FW Net,FRAM,1586,250,66,1826,798,160,5613,4448,539,1320,16606,Remove  fishery
77,Mak FW Net,RMIS,1586,308,68,1826,798,164,5613,313,539,1320,12535,Remove  fishery
77,Mak FW Net,Sampled,,163,44,,,,3881,,,,4088,Remove  fishery
77,Mak FW Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
79,A 4-4A Net,FRAM,,,,,,,,,,,0,Remove  fishery
79,A 4-4A Net,RMIS,,,,38,,69,15,6,1,1,130,Remove  fishery
79,A 4-4A Net,Sampled,,,,,,,,,,,0,Remove  fishery
79,A 4-4A Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
81,4B-6C  Net,FRAM,3279,2656,3856,2480,2459,816,688,983,4457,407,22081,Remove years & standard adjustment
81,4B-6C  Net,RMIS,3344,2665,4051,2606,2459,816,750,983,4560,418,22652,Remove years & standard adjustment
81,4B-6C  Net,Sampled,1792,2269,2785,938,644,707,178,,3204,,12517,Remove years & standard adjustment
81,4B-6C  Net,Xpansion,1.87,1.17,1.45,2.78,3.82,1.15,4.21,0.00,1.42,0.00,,Remove years & standard adjustment
83,6D-DgR Net,FRAM,1271,5021,5270,2065,3245,295,3931,4842,3313,1200,30453,No adjustment
83,6D-DgR Net,RMIS,1271,5021,5369,2057,3195,323,3957,4894,3313,1205,30605,No adjustment
83,6D-DgR Net,Sampled,1271,4979,5369,2057,3195,323,3939,4894,3313,1205,30545,No adjustment
83,6D-DgR Net,Xpansion,1.00,1.01,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,No adjustment
84,Elwha  Net,FRAM,1250,586,11,,,,,,,,1847,Remove  fishery
84,Elwha  Net,RMIS,1250,586,11,,,,,,,,1847,Remove  fishery
84,Elwha  Net,Sampled,1136,36,,,,,,,,,1172,Remove  fishery
84,Elwha  Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
85,WJDF T Net,FRAM,,,,,,,,,,,0,Remove  fishery
85,WJDF T Net,RMIS,21,57,3,42,28,34,16,10,1,,212,Remove  fishery
85,WJDF T Net,Sampled,,,,,,,,,,,0,Remove  fishery
85,WJDF T Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
88,A 6-7A Net,FRAM,4708,11475,10216,19476,19430,3939,4176,3352,3831,2410,83013,Standard adjustment
88,A 6-7A Net,RMIS,4719,11346,10533,20559,19661,4119,4065,3501,3947,2204,84654,Standard adjustment
88,A 6-7A Net,Sampled,2871,8388,6354,15806,17708,3547,3783,3080,2708,1765,66010,Standard adjustment
88,A 6-7A Net,Xpansion,1.64,1.35,1.66,1.30,1.11,1.16,1.07,1.14,1.46,1.25,,Standard adjustment
